36024_at,lacrimal proline rich protein
38065_at,high-mobility group (nonhistone chromosomal) protein 2
35995_at,ZW10 interactor
1592_at,topoisomerase (DNA) II alpha (170kD)
904_s_at," L47276 /FEATURE=UTR#1 /DEFINITION=HUMTOPATR Homo sapiens (cell line HL-60) alpha topoisomerase truncated-form mRNA, 3''UTR "
40145_at," Cluster Incl AI375913:tc14c08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2063822 /clone_end=3'' /gb=AI375913 /gi=4175903 /ug=Hs.156346 /len=916'' "
38116_at,KIAA0101 gene product
39109_at,chromosome 20 open reading frame 1
36987_at,lamin B2
37347_at," Cluster Incl AA926959:om68h08.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1552383 /clone_end=3'' /gb=AA926959 /gi=3075856 /ug=Hs.77550 /len=809'' "
947_at,minichromosome maintenance deficient (S. cerevisiae) 7
151_s_at,V00599 /FEATURE=mRNA /DEFINITION=HSTUB2 Human mRNA fragment encoding beta-tubulin. (from clone D-beta-1)
38708_at,"RAN, member RAS oncogene family"
1840_g_at,Ras-Like Protein Tc4
1839_at,Ras-Like Protein Tc4
40074_at,"methylene tetrahydrofolate dehydrogenase (NAD+ dependent), methenyltetrahydrofolate cyclohydrolase"
34368_at,histone deacetylase 2
39346_at,GAP-associated tyrosine phosphoprotein p62 (Sam68)
33346_r_at,"tubulin, gamma 1"
35916_s_at," Cluster Incl AA877215:ob15e02.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1323770 /clone_end=3'' /gb=AA877215 /gi=2986292 /ug=Hs.199538 /len=583'' "
38456_s_at," Cluster Incl AL049650:dJ734P14.2.2 (snRNP (small nuclear ribonucleoprotein particle) protein B) /cds=(129,851) /gb=AL049650 /gi=5123801 /ug=Hs.83753 /len=973'' "
38455_at," Cluster Incl AL049650:dJ734P14.2.1 (snRNP (small nuclear ribonucleoprotein particle) protein B) /cds=(129,824) /gb=AL049650 /gi=5123801 /ug=Hs.83753 /len=1119 "
38679_g_at," Cluster Incl AA733050:zg79b05.s1 Homo sapiens cDNA, 3 end /clone=399537 /clone_end=3'' /gb=AA733050 /gi=2754409 /ug=Hs.1066 /len=706'' "
1287_at,ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
41146_at,ADP-ribosyltransferase (NAD+; poly (ADP-ribose) polymerase)
32508_at," Cluster Incl AL096857:Novel human mRNA from chromosome 1, which has similarities to BAT2 genes /cds=(57,8162) /gb=AL096857 /gi=5541862 /ug=Hs.69559 /len=10174 "
36654_s_at,heterogeneous nuclear ribonucleoprotein A2/B1
36112_r_at,"splicing factor, arginine/serine-rich 2"
36153_at,"DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 9 (RNA helicase A, nuclear DNA helicase II; leukophysin)"
33666_at,heterogeneous nuclear ribonucleoprotein C (C1/C2)
723_s_at," Small Nuclear Ribonucleoprotein, Polypeptide C, Alt. Splice 2 "
32408_s_at,hypothetical protein similar to preferentially expressed antigen of melanoma
36981_at,Cluster Incl AF070649:Homo sapiens clone 24452 mRNA sequence /cds=UNKNOWN /gb=AF070649 /gi=3283923 /ug=Hs.75975 /len=1474
34865_at," Cluster Incl AI360249:qy84f07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2018725 /clone_end=3'' /gb=AI360249 /gi=4111870 /ug=Hs.49767 /len=530'' "
40417_at,"chaperonin containing TCP1, subunit 5 (epsilon)"
36171_at," Cluster Incl AI521453:th60h07.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2122717 /clone_end=3'' /gb=AI521453 /gi=4435588 /ug=Hs.74861 /len=622'' "
38114_at,RAD21 (S. pombe) homolog
41185_f_at," Cluster Incl AI971724:wr07a04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2480814 /clone_end=3'' /gb=AI971724 /gi=5768550 /ug=Hs.180139 /len=794'' "
32478_f_at," Cluster Incl AL031133:dJ281H8.4 (Ubiquitin-Like protein SMT3 LIKE) /cds=(124,411) /gb=AL031133 /gi=3676189 /ug=Hs.113293 /len=1009 "
32548_at,"unactive progesterone receptor, 23 kD"
38744_at," Cluster Incl N95406:zb80g12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-309958 /clone_end=3'' /gb=N95406 /gi=1267713 /ug=Hs.85215 /len=623'' "
40129_at,"protein kinase, DNA-activated, catalytic polypeptide"
40189_at,SET translocation (myeloid leukemia-associated)
1313_at,"proteasome (prosome, macropain) subunit, beta type, 7"
38479_at,acidic protein rich in leucines
1447_at,"proteasome (prosome, macropain) subunit, beta type, 1"
34791_at,t-complex 1
34850_at,ubiquitin-conjugating enzyme E2E 3 (homologous to yeast UBC4/5)
33456_at,"microtubule-associated protein, RP/EB family, member 1"
38657_s_at,"clathrin, light polypeptide (Lca)"
34380_at,stomatin-like 2
33879_at,sigma receptor (SR31747 binding protein 1)
32590_at,nucleolin
38779_r_at,hepatoma-derived growth factor (high-mobility group protein 1-like)
36446_s_at," Cluster Incl L24521:Human transformation-related protein mRNA, 3 end /cds=(0,1108) /gb=L24521 /gi=403459 /ug=Hs.169225 /len=1240'' "
40842_at,small nuclear ribonucleoprotein polypeptide A
1310_at,"proteasome (prosome, macropain) subunit, beta type, 2"
34829_at,"dyskeratosis congenita 1, dyskerin"
36847_r_at," Cluster Incl AA121509:zk88c10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-489906 /clone_end=3'' /gb=AA121509 /gi=1679123 /ug=Hs.70830 /len=593'' "
36846_s_at," Cluster Incl AA121509:zk88c10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-489906 /clone_end=3'' /gb=AA121509 /gi=1679123 /ug=Hs.70830 /len=593'' "
32853_at,translocase of outer mitochondrial membrane 70 (yeast) homolog A
34891_at," Cluster Incl AI540958:PEC1.2_15_H01.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI540958 /gi=4458331 /ug=Hs.5120 /len=808'' "
38655_at," Cluster Incl AI525633:PT1.3_04_A08.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI525633 /gi=4439768 /ug=Hs.103834 /len=887'' "
288_s_at,lamin B receptor
1450_g_at,"proteasome (prosome, macropain) subunit, alpha type, 4"
1449_at,"proteasome (prosome, macropain) subunit, alpha type, 4"
37576_at,Purkinje cell protein 4
36111_s_at,"splicing factor, arginine/serine-rich 2"
39158_at,activating transcription factor 5
31935_s_at," Cluster Incl U75968:Human clone C3 CHL1 protein (CHLR1) mRNA, alternatively spliced, complete cds /cds=(220,1086) /gb=U75968 /gi=1666894 /ug=Hs.166048 /len=4182 "
40567_at,"Tubulin, alpha, brain-specific"
34148_at,sine oculis homeobox (Drosophila) homolog 3
39332_at," Cluster Incl AF035316:Homo sapiens clone 23678 mRNA, partial cds /cds=(0,1030) /gb=AF035316 /gi=2661078 /ug=Hs.119076 /len=1283 "
33157_at,insulinoma-associated 1
38158_at,"extra spindle poles, S. cerevisiae, homolog of"
40050_at,"core-binding factor, runt domain, alpha subunit 2; translocated to, 2"
39666_at,guanine nucleotide binding protein 4
40544_g_at,achaete-scute complex (Drosophila) homolog-like 1
40543_at,achaete-scute complex (Drosophila) homolog-like 1
36053_at,"cyclin-dependent kinase inhibitor 2C (p18, inhibits CDK4)"
39605_at,forkhead box G1B
36491_at,"thymosin, beta, identified in neuroblastoma cells"
39990_at,"ISL1 transcription factor, LIM/homeodomain, (islet-1)"
41087_at,distal-less homeo box 6
33348_at,"transcription factor 12 (HTF4, helix-loop-helix transcription factors 4)"
39243_s_at,PC4 and SFRS1 interacting protein 2
1782_s_at,leukemia-associated phosphoprotein p18 (stathmin)
38251_at," Cluster Incl AI127424:qb75b02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1705899 /clone_end=3'' /gb=AI127424 /gi=3595938 /ug=Hs.90318 /len=766'' "
38809_s_at,exostoses (multiple)-like 3
38527_at,"non-POU-domain-containing, octamer-binding"
40412_at," Cluster Incl AA203476:zx55e01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-446424 /clone_end=5'' /gb=AA203476 /gi=1799203 /ug=Hs.159626 /len=828'' "
36815_at,Cluster Incl AF038185:Homo sapiens clone 23700 mRNA sequence /cds=UNKNOWN /gb=AF038185 /gi=2795905 /ug=Hs.66187 /len=1540
543_g_at,cellular retinoic acid-binding protein 1
542_at,cellular retinoic acid-binding protein 1
37749_at,mesoderm specific transcript (mouse) homolog
33131_at,SRY (sex determining region Y)-box 4
36174_at,macrophage myristoylated alanine-rich C kinase substrate
36598_s_at," Cluster Incl L36818:Human (clone 51C-3) 51C protein mRNA, complete cds /cds=(316,3765) /gb=L36818 /gi=556191 /ug=Hs.75339 /len=4657 "
32730_at,Cluster Incl AL080059:Homo sapiens mRNA; cDNA DKFZp564H142 (from clone DKFZp564H142) /cds=UNKNOWN /gb=AL080059 /gi=5262463 /ug=Hs.173094 /len=2607
685_f_at,"tubulin, alpha 1 (testis specific)"
34788_at,Cluster Incl AL049365:Homo sapiens mRNA; cDNA DKFZp586A0618 (from clone DKFZp586A0618) /cds=UNKNOWN /gb=AL049365 /gi=4500154 /ug=Hs.4105 /len=2544
40846_g_at,"interleukin enhancer binding factor 3, 90kD"
40440_at,DKFZP564M2423 protein
1741_s_at," S37730 /FEATURE=cds /DEFINITION=S37712S4 insulin-like growth factor binding protein-2 [human, placenta, Genomic, 1342 nt, segment 4 of 4] "
40422_at,insulin-like growth factor binding protein 2 (36kD)
41778_at,"solute carrier family 1 (neutral amino acid transporter), member 5"
38029_at,"solute carrier family 3 (activators of dibasic and neutral amino acid transport), member 2"
32186_at,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 5"
39056_at,multifunctional polypeptide similar to SAICAR synthetase and AIR carboxylase
31670_s_at,calcium/calmodulin-dependent protein kinase (CaM kinase) II gamma
38634_at,"retinol-binding protein 1, cellular"
34623_at,"defensin, alpha 5, Paneth cell-specific"
38761_s_at," Cluster Incl AA487755:ab13f01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-840697 /clone_end=5'' /gb=AA487755 /gi=2215186 /ug=Hs.8762 /len=596'' "
41271_at,"solute carrier family 7 (cationic amino acid transporter, y+ system), member 8"
32434_at,"myristoylated alanine-rich protein kinase C substrate (MARCKS, 80K-L)"
41535_at,"deleted in oral cancer (mouse, homolog) 1"
39710_at,P311 protein
37508_f_at," Cluster Incl AA675900:g02504r Homo sapiens cDNA, 5 end /clone=g02504 /clone_end=5'' /gb=AA675900 /gi=2775247 /ug=Hs.119325 /len=647'' "
34795_at,"procollagen-lysine, 2-oxoglutarate 5-dioxygenase (lysine hydroxylase) 2"
1039_s_at,"hypoxia-inducible factor 1, alpha subunit (basic helix-loop-helix transcription factor)"
40108_at,KIAA0005 gene product
38805_at,TG-interacting factor (TALE family homeobox)
32607_at,brain acid-soluble protein 1
1659_s_at,Ras homolog enriched in brain 2
38010_at,BCL2/adenovirus E1B 19kD-interacting protein 3
39722_at,nuclear receptor co-repressor 1
39059_at,7-dehydrocholesterol reductase
38592_s_at," Cluster Incl AI828210:wk81e09.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2421832 /clone_end=3'' /gb=AI828210 /gi=5448881 /ug=Hs.182536 /len=732'' "
1642_at,metastasis associated 1
1643_g_at,metastasis associated 1
38633_at,metastasis associated 1
688_at,"proteasome (prosome, macropain) 26S subunit, ATPase, 1"
39020_at,CD27-binding (Siva) protein
1564_at,v-akt murine thymoma viral oncogene homolog 1
39825_at," Cluster Incl L77567:Homo sapiens mitochondrial citrate transport protein (CTP) mRNA, 3 end /cds=UNKNOWN /gb=L77567 /gi=1377754 /ug=Hs.111024 /len=1559'' "
38998_g_at,"solute carrier family 25 (mitochondrial carrier; citrate transporter), member 1"
41314_at,citrate synthase
777_at,GDP dissociation inhibitor 2
35307_at,GDP dissociation inhibitor 2
1179_at," Heat Shock Protein, 70 Kda "
33820_g_at,lactate dehydrogenase B
1180_g_at," Heat Shock Protein, 70 Kda "
40637_at,heat shock 70kD protein 8
41212_r_at,Williams-Beuren syndrome chromosome region 1
35974_at,lymphoid-restricted membrane protein
31953_f_at,G antigen 3
31954_f_at," Cluster Incl AA447559:zw81e11.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-782636 /clone_end=3'' /gb=AA447559 /gi=2161229 /ug=Hs.176661 /len=489'' "
31498_f_at,G antigen 6
33680_f_at,G antigen 7
33671_f_at,G antigen 4
37065_f_at,G antigen 5
31960_f_at,G antigen 2
31497_at,G antigen 1
157_at,preferentially expressed antigen in melanoma
33517_f_at,"melanoma antigen, family A, 3"
31599_f_at,"melanoma antigen, family A, 6"
36302_f_at,"melanoma antigen, family A, 4"
32426_f_at,"melanoma antigen, family A, 1 (directs expression of antigen MZ2-E)"
34575_f_at,"melanoma antigen, family A, 5"
32407_f_at," Cluster Incl U92818:Homo sapiens c33.28 unnamed HERV-H protein mRNA, partial cds /cds=(0,298) /gb=U92818 /gi=2465329 /ug=Hs.239501 /len=432 "
34704_r_at," Cluster Incl AA151971:zo30b03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-588365 /clone_end=5'' /gb=AA151971 /gi=1720827 /ug=Hs.237514 /len=467'' "
32162_r_at," Cluster Incl AI817548:wk24e08.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2413286 /clone_end=3'' /gb=AI817548 /gi=5436627 /ug=Hs.184093 /len=570'' "
34703_f_at," Cluster Incl AA151971:zo30b03.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-588365 /clone_end=5'' /gb=AA151971 /gi=1720827 /ug=Hs.237514 /len=467'' "
34702_f_at,endogenous retroviral protease
32163_f_at," Cluster Incl AA216639:zq95f07.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-649765 /clone_end=3'' /gb=AA216639 /gi=1817337 /ug=Hs.184093 /len=569'' "
31785_f_at,unnamed HERV-H protein
38011_at,RPB5-mediating protein
34401_at,"ubiquinol-cytochrome c reductase, Rieske iron-sulfur polypeptide 1"
1603_g_at,"protein kinase C, iota"
1602_at,"protein kinase C, iota"
34336_at,lysyl-tRNA synthetase
38097_at,etoposide-induced mRNA
33386_at,glycine C-acetyltransferase (2-amino-3-ketobutyrate coenzyme A ligase)
40506_s_at,"poly(A)-binding protein, cytoplasmic 4 (inducible form)"
33877_s_at,KIAA1067 protein
36035_at,"anchor attachment protein 1 (Gaa1p, yeast) homolog"
36936_at,tissue specific transplantation antigen P35B
41256_at,eukaryotic translation elongation factor 1 delta (guanine nucleotide exchange protein)
36145_at,siah binding protein 1; FBP interacting repressor; pyrimidine tract binding splicing factor; Ro ribonucleoprotein-binding protein 1
1160_at,cytochrome c-1
35819_at,cytochrome c-1
35615_at,KIAA0124 protein
40200_at,heat shock transcription factor 1
31505_at,ribosomal protein L8
31951_s_at," Cluster Incl Z48501:H.sapiens mRNA for polyadenylate binding protein II /cds=(0,1568) /gb=Z48501 /gi=693936 /ug=Hs.172182 /len=1569 "
31950_at,"poly(A)-binding protein, cytoplasmic 1"
33132_at,"cleavage and polyadenylation specific factor 1, 160kD subunit"
1399_at,"transcription elongation factor B (SIII), polypeptide 1 (15kD, elongin C)"
1073_at,"transcription elongation factor A (SII), 1"
41188_at,Cluster Incl W28186:43c2 Homo sapiens cDNA /gb=W28186 /gi=1308134 /ug=Hs.180320 /len=941
33421_s_at,"sterol-C5-desaturase (fungal ERG3, delta-5-desaturase)-like"
32209_at,Mouse Mammary Turmor Virus Receptor homolog
39861_at,ems1 sequence (mammary tumor and squamous cell carcinoma-associated (p80/85 src substrate)
37329_at,NADH dehydrogenase (ubiquinone) flavoprotein 1 (51kD)
36973_at,"splicing factor 3b, subunit 2, 145kD"
39076_s_at," Cluster Incl AI991040:wu36b05.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-990820 /clone_end=3'' /gb=AI991040 /gi=5837937 /ug=Hs.118724 /len=718'' "
38663_at," Cluster Incl AI033692:ow26f02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1647963 /clone_end=3'' /gb=AI033692 /gi=3254645 /ug=Hs.10488 /len=657'' "
207_at,stress-induced-phosphoprotein 1 (Hsp70/Hsp90-organizing protein)
38257_at,NADH dehydrogenase (ubiquinone) Fe-S protein 8 (23kD) (NADH-coenzyme Q reductase)
954_s_at," Protein Phosphatase 1, Alpha Catalytic Subunit "
32157_at,"protein phosphatase 1, catalytic subunit, alpha isoform"
38618_at,LIM domain kinase 2
33659_at,cofilin 1 (non-muscle)
1295_at,v-rel avian reticuloendotheliosis viral oncogene homolog A (nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (p65))
36645_at,v-rel avian reticuloendotheliosis viral oncogene homolog A (nuclear factor of kappa light polypeptide gene enhancer in B-cells 3 (p65))
36951_at,chromosome 11 open reading frame 4
306_s_at,high-mobility group (nonhistone chromosomal) protein 14
39767_at,"chaperonin containing TCP1, subunit 8 (theta)"
37029_at,"ATP synthase, H+ transporting, mitochondrial F1 complex, O subunit (oligomycin sensitivity conferring protein)"
36620_at,"superoxide dismutase 1, soluble (amyotrophic lateral sclerosis 1 (adult))"
41551_at," Cluster Incl AW044624:wy78c04.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2554662 /clone_end=3'' /gb=AW044624 /gi=5905153 /ug=Hs.40500 /len=688'' "
38780_at,"aldo-keto reductase family 1, member A1 (aldehyde reductase)"
32575_at,nucleosome assembly protein 1-like 4
40408_at,cysteinyl-tRNA synthetase
38690_at,chromosome 3 open reading frame 4
32100_r_at,"galactosamine (N-acetyl)-6-sulfate sulfatase (Morquio syndrome, mucopolysaccharidosis type IVA)"
32923_r_at,synapsin I
38707_r_at,"E2F transcription factor 4, p107/p130-binding"
35555_r_at,Zic family member 2 (odd-paired Drosophila homolog)
41610_at,"laminin, alpha 5"
39657_at,keratin 4
35267_g_at,bladder cancer associated protein
35266_at,bladder cancer associated protein
40782_at,short-chain dehydrogenase/reductase 1
34104_i_at," Cluster Incl AI147237:qb36f02.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-1698363 /clone_end=3'' /gb=AI147237 /gi=3674919 /ug=Hs.210732 /len=474'' "
33792_at,prostate stem cell antigen
1586_at,insulin-like growth factor binding protein 3
37319_at,insulin-like growth factor binding protein 3
39827_at," Cluster Incl AA522530:ni38d12.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-979127 /clone_end=3'' /gb=AA522530 /gi=2263242 /ug=Hs.111244 /len=891'' "
34777_at,adrenomedullin
34775_at,tetraspan 1
181_g_at,malignant cell expression-enhanced gene/tumor progression-enhanced gene
37393_at,hairy (Drosophila)-homolog
34827_at,unc-51 (C. elegans)-like kinase 1
36576_at,"H2A histone family, member Y"
33782_r_at," Cluster Incl AA587372:nn82f03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-1090397 /clone_end=3'' /gb=AA587372 /gi=2398186 /ug=Hs.200478 /len=636'' "
38755_at,Fas (TNFRSF6)-associated via death domain
37350_at," Cluster Incl AL031177:dJ889N15.2.1 (26S Proteasome subunit p28 (Ankyrin repeat protein)) (isoform 1) /cds=(98,778) /gb=AL031177 /gi=4071056 /ug=Hs.7756 /len=1548 "
34933_at,paired box gene 9
37796_at,leucine-rich neuronal protein
39051_at,neuronatin
38524_at,occludin
32933_r_at,Cluster Incl AL050122:Homo sapiens mRNA; cDNA DKFZp586E121 (from clone DKFZp586E121) /cds=UNKNOWN /gb=AL050122 /gi=4884330 /ug=Hs.227742 /len=1843
AFFX-M27830_M_at," M27830 Human 28S ribosomal RNA gene, complete cds (_5, _M, _3 represent transcript regions 5 prime, Middle, and 3 prime respectively) "
37633_s_at,"progestagen-associated endometrial protein (placental protein 14, pregnancy-associated endometrial alpha-2-globulin, alpha uterine protein)"
39992_at,"solute carrier family 22 (organic cation transporter), member 1-like"
1680_at,growth factor receptor-bound protein 7
33218_at,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)
1802_s_at,v-erb-b2 avian erythroblastic leukemia viral oncogene homolog 2 (neuro/glioblastoma derived oncogene homolog)
1901_s_at," M12036 /FEATURE=cds /DEFINITION=HUMHER2B Human tyrosine kinase-type receptor (HER2) gene, partial cds "
37355_at,steroidogenic acute regulatory protein related
37772_at,KIAA0904 protein
1309_at,"proteasome (prosome, macropain) subunit, beta type, 3"
39155_at,"proteasome (prosome, macropain) 26S subunit, non-ATPase, 3"
36181_at,LIM and SH3 protein 1
32395_r_at,ribosomal protein L23
32394_s_at,ribosomal protein L23
32435_at,ribosomal protein L19
35741_at,"phosphatidylinositol-4-phosphate 5-kinase, type II, beta"
32192_g_at,zinc finger protein 144 (Mel-18)
33455_at,"aldolase B, fructose-bisphosphate"
33637_g_at,cancer/testis antigen
32550_r_at,"CCAAT/enhancer binding protein (C/EBP), alpha"
731_f_at," Mucin 3, Intestinal "
31745_at,"mucin 3A, intestinal"
39018_at,microsomal glutathione S-transferase 3
40436_g_at,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6"
40435_at,"solute carrier family 25 (mitochondrial carrier; adenine nucleotide translocator), member 6"
41108_at,Pseudoautosomal GTP-binding protein-like
36703_at,"small inducible cytokine subfamily A (Cys-Cys), member 25"
31957_r_at,"ribosomal protein, large, P1"
31956_f_at,"ribosomal protein, large, P1"
2016_s_at,ribosomal protein L10
34643_at,"ribosomal protein S4, X-linked"
34302_at,"eukaryotic translation initiation factor 3, subunit 4 (delta, 44kD)"
1288_s_at,eukaryotic translation elongation factor 1 alpha 1
40887_g_at,eukaryotic translation elongation factor 1 alpha 1-like 14
32337_at,ribosomal protein L21 (gene or pseudogene)
33657_at,ribosomal protein L34
40886_at,eukaryotic translation elongation factor 1 alpha 1-like 14
31584_at,"tumor protein, translationally-controlled 1"
32748_at," Cluster Incl AI557852:P6test.G05.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI557852 /gi=4490215 /ug=Hs.195453 /len=693'' "
31952_at,ribosomal protein L6
31538_at,"ribosomal protein, large, P0"
31511_at,ribosomal protein S9
36587_at,eukaryotic translation elongation factor 2
31722_at,ribosomal protein L3
39110_at,eukaryotic translation initiation factor 4B
31955_at,Finkel-Biskis-Reilly murine sarcoma virus (FBR-MuSV) ubiquitously expressed (fox derived); ribosomal protein S30
31573_at,ribosomal protein S25
32315_at,ribosomal protein S24
35748_at,eukaryotic translation elongation factor 1 beta 2
31330_at,ribosomal protein S19
31385_at,ribosomal protein L28
35119_at,ribosomal protein L13a
32437_at,ribosomal protein S5
31546_at,ribosomal protein L18
32330_at,ribosomal protein S11
33614_at,ribosomal protein L18a
35125_at,ribosomal protein S6
32744_at," Cluster Incl AI526078:DU3.2-7.G08.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI526078 /gi=4440196 /ug=Hs.1948 /len=560'' "
36624_at,IMP (inosine monophosphate) dehydrogenase 2
33660_at,ribosomal protein L5
31583_at,ribosomal protein S8
34316_at," Cluster Incl W52024:zd13a03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-340492 /clone_end=3'' /gb=W52024 /gi=1350030 /ug=Hs.2953 /len=531'' "
41152_f_at," Cluster Incl T89651:yd99a05.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-116336 /clone_end=3'' /gb=T89651 /gi=718164 /ug=Hs.178391 /len=559'' "
39830_at," Cluster Incl AA044823:zk72a10.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-488346 /clone_end=3'' /gb=AA044823 /gi=1523026 /ug=Hs.111611 /len=649'' "
34085_at,ribosomal protein L38
41765_at," Cluster Incl AI541285:pec1.2-4.D10.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI541285 /gi=4458658 /ug=Hs.182825 /len=617'' "
33668_at," Cluster Incl AF037643:Homo sapiens 60S ribosomal protein L12 (RPL12) pseudogene, partial sequence /cds=(85,474) /gb=AF037643 /gi=2746542 /ug=Hs.182979 /len=617 "
33676_at,ribosomal protein L31
34646_at,ribosomal protein S7
31568_at,ribosomal protein S10
31545_at,"SAC2 (suppressor of actin mutations 2, yeast, homolog)-like"
36786_at,ribosomal protein L10a
31527_at,ribosomal protein S2
32276_at,ribosomal protein L32
256_s_at,"laminin receptor 1 (67kD, ribosomal protein SA)"
32432_f_at,ribosomal protein L15
33674_at,ribosomal protein L29
31907_at,ribosomal protein L14
34317_g_at," Cluster Incl W52024:zd13a03.s1 Homo sapiens cDNA, 3 end /clone=IMAGE-340492 /clone_end=3'' /gb=W52024 /gi=1350030 /ug=Hs.2953 /len=531'' "
34645_at,ribosomal protein S3
327_f_at,Ribosomal Protein S20
32438_at,ribosomal protein S20
326_i_at,Ribosomal Protein S20
36333_at," Cluster Incl X57958:H.sapiens mRNA for ribosomal protein L7 /cds=(22,783) /gb=X57958 /gi=35904 /ug=Hs.153 /len=847 "
38681_at,"eukaryotic translation initiation factor 3, subunit 6 (48kD)"
31708_at,ribosomal protein L30
33677_at,ribosomal protein L24
33485_at,ribosomal protein L4
31962_at,ribosomal protein L37a
34593_g_at,ribosomal protein S17
34592_at,ribosomal protein S17
33656_at,ribosomal protein L37
32440_at,ribosomal protein L17
34609_g_at,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
34608_at,"guanine nucleotide binding protein (G protein), beta polypeptide 2-like 1"
32412_at,ribosomal protein S14
33619_at,ribosomal protein S13
32576_at,"eukaryotic translation initiation factor 3, subunit 5 (epsilon, 47kD)"
32487_s_at,karyopherin alpha 4 (importin alpha 3)
32436_at,ribosomal protein L27a
1676_s_at,eukaryotic translation elongation factor 1 gamma
31509_at,ribosomal protein L13
1653_at,ribosomal protein S3A
36358_at,ribosomal protein L9
32341_f_at,ribosomal protein L23a
35055_at,basic transcription factor 3
324_f_at,Transcription Factor Btf3b
31932_f_at,basic transcription factor 3
347_s_at,ribosomal protein S23
34570_at,ribosomal protein S27a
41178_at,ribosomal protein L11
40274_at,D site of albumin promoter (albumin D-box) binding protein
39916_r_at,ribosomal protein S15
39798_at," Cluster Incl R87876:yo45h01.r1 Homo sapiens cDNA, 5 end /clone=IMAGE-180913 /clone_end=5'' /gb=R87876 /gi=946689 /ug=Hs.153177 /len=483'' "
38061_at," Cluster Incl AI541256:pec1.2-3.F11.r Homo sapiens cDNA, 5 end /clone_end=5'' /gb=AI541256 /gi=4458629 /ug=Hs.80617 /len=717'' "
1488_at,"protein tyrosine phosphatase, receptor type, K"
33102_at,adducin 3 (gamma)
35315_at,orosomucoid 1
39385_at,"alanyl (membrane) aminopeptidase (aminopeptidase N, aminopeptidase M, microsomal aminopeptidase, CD13, p150)"
38646_s_at," Cluster Incl AI763065:wi64h03.x1 Homo sapiens cDNA, 3 end /clone=IMAGE-2398133 /clone_end=3'' /gb=AI763065 /gi=5178732 /ug=Hs.1032 /len=670'' "
40309_at,carbonic anhydrase IX
820_at,microsomal glutathione S-transferase 2
32502_at," Cluster Incl AL041124:DKFZp434D0316_s1 Homo sapiens cDNA, 3 end /clone=DKFZp434D0316 /clone_end=3'' /gb=AL041124 /gi=5410060 /ug=Hs.6748 /len=719'' "
34183_at,DKFZP434C171 protein
33647_s_at,Cluster Incl AA224768:nc12d09.r1 Homo sapiens cDNA /clone=IMAGE-1007921 /gb=AA224768 /gi=1846077 /ug=Hs.169293 /len=377
41728_at,KIAA0152 gene product
40123_at,golgi-specific brefeldin A resistance factor 1
38802_at,progesterone binding protein
36574_at,isocitrate dehydrogenase 3 (NAD+) gamma
41724_at,accessory proteins BAP31/BAP29
32536_at,emopamil-binding protein (sterol isomerase)
37326_at,LIM domain only 6
41200_at,"CD36 antigen (collagen type I receptor, thrombospondin receptor)-like 1"
